State,Program Name,Type
North Dakota,North Dakota Solar/Wind Easements and Laws,Solar/Wind Access Policy
Arizona,Qualifying Wood Stove Deduction,Personal Tax Deduction
Maryland,Maryland Solar Easements & Rights Laws,Solar/Wind Access Policy
Oregon,Oregon Solar and Wind Easements/Rights Laws & Local Option Solar Rights Law,Solar/Wind Access Policy
Alaska,Alaska Solar Easements,Solar/Wind Access Policy
Idaho,Idaho Solar Easements & Access Laws,Solar/Wind Access Policy
Kansas,Kansas Solar Easement Laws,Solar/Wind Access Policy
Colorado,Xcel Energy - Net Metering,Net Metering
Georgia,Georgia Solar Easement Laws,Solar/Wind Access Policy
Kentucky,Kentucky Solar Easements Laws,Solar/Wind Access Policy
Maine,Maine Solar Easements (Duplicate entry),Solar/Wind Access Policy
Rhode Island,Rhode Island Solar Easement Laws,Solar/Wind Access Policy
Washington,Solar Easements & Rights Laws,Solar/Wind Access Policy
Texas,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arizona,Arizona Solar Rights,Solar/Wind Access Policy
Tennessee,Tennessee Solar Easement and Access Laws,Solar/Wind Access Policy
New Jersey,New Jersey Solar Easements (duplicate entry),Solar/Wind Access Policy
Missouri,Missouri Solar Easements & Rights Laws,Solar/Wind Access Policy
New Hampshire,New Hampshire Solar Easements (Duplicate entry),Solar/Wind Access Policy
Ohio,Ohio Solar Easement and Access Laws,Solar/Wind Access Policy
California,Glendale Water and Power - Solar Solutions Program,Rebate Program
Montana,Lincoln Electric Cooperative - Net Metering,Net Metering
Oregon,Solar Water Heating Incentive Program,Rebate Program
Montana,Mandatory Utility Green Power Option,Mandatory Utility Green Power Option
Iowa,Iowa Solar Easement and Access Laws,Solar/Wind Access Policy
Florida,Florida Solar Easement and Access Laws,Solar/Wind Access Policy
Arizona,Solar & Wind Equipment Certification,Equipment Certification
Oregon,BEF - Solar 4R Schools,Grant Program
Arkansas,Advanced Biofuels Tax Credit,Industry Recruitment/Support
Massachusetts,Green Power Predevelopment Financing Grant,Grant Program
Indiana,Indiana Biomass Grant Program,Grant Program
Illinois,ComEd - Wind & Photovoltaic Generation Program,Net Metering
Ohio,Net Metering,Net Metering
Montana,Net Metering,Net Metering
New Jersey,Net Metering,Net Metering
Oregon,Net Metering,Net Metering
Virginia,Net Metering,Net Metering
Vermont,Net Metering,Net Metering
Washington,Net Metering,Net Metering
Delaware,Net Metering,Net Metering
Vermont,Renewable Energy Systems Sales Tax Exemption,Sales Tax Incentive
Vermont,Local Option - Property Tax Exemption,Property Tax Incentive
Alabama,Wood-Burning Heating System Deduction,Personal Tax Deduction
Arkansas,Emerging Technology Development Credit,Industry Recruitment/Support
Arkansas,Energy-Saving Equipment Deduction,Personal Tax Deduction
Hawaii,Solar and Wind Energy Credit (Corporate),Corporate Tax Credit
Hawaii,Solar and Wind Energy Credit (Personal),Personal Tax Credit
Hawaii,Wind Energy System Personal Tax Credit,Personal Tax Credit
Hawaii,Wind Energy System Corporate Tax Credit,Corporate Tax Credit
Hawaii,Alcohol Fuels Exemption,Sales Tax Incentive
Indiana,Renewable Energy Property Tax Exemption,Property Tax Incentive
Indiana,Energy Education and Demonstration Grant Program,Grant Program
Iowa,Renewable Energy Equipment Exemption,Sales Tax Incentive
Iowa,Ethanol-Based Fuels Exemption,Sales Tax Incentive
Nebraska,State Agency Renewable Energy Utilization,Energy Standards for Public Buildings
Maine,Voluntary Renewable Resources Grants,Grant Program
New Hampshire,Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,Property Tax Incentive
Texas,San Antonio City Public Service - Distributed Generation Program,Net Metering
Idaho,BEF - Solar 4R Schools,Grant Program
Washington,Grays Harbor PUD - Solar Water Heater Rebate,Rebate Program
Wisconsin,WisconSUN Demonstration Grants,Grant Program
Pennsylvania,Net Metering,Net Metering
California,Marin County - Green Building Requirements,Building Energy Code
Maryland,Clean Energy Incentive Act (Personal Credit),Personal Tax Credit
Pennsylvania,Fuel Mix Disclosure,Generation Disclosure
Maryland,Sales Tax Exemption -  Fuel Cells,Sales Tax Incentive
Maryland,EV and Hybrid Sales Tax Exemption,Sales Tax Incentive
Maryland,Clean Energy Incentive Act (Corporate Credit),Corporate Tax Credit
Montana,Montana Electric Coops - Net Metering,Net Metering
Hawaii,Ethanol Production Investment Tax Credit,Corporate Tax Credit
Florida,PV Rebate Program,Rebate Program
Kansas,Renewable Energy Property Tax Exemption,Property Tax Incentive
New York,Long Island Power Authority - PV Rebate Program,Rebate Program
Ohio,Energy Conversion and Thermal Efficiency Sales Tax Exemption,Sales Tax Incentive
Ohio,Air-Quality Improvement Tax Incentives,Other Incentive
Ohio,Energy Conversion Facilities Property Tax Exemption,Property Tax Incentive
New York,Residential Solar Tax Credit,Personal Tax Credit
Texas,Solar and Wind Energy Device Franchise Tax Deduction,Corporate Tax Deduction
Texas,Solar and Wind Energy Business Franchise Tax Exemption,Industry Recruitment/Support
Utah,Renewable Energy Systems Tax Credit (Personal),Personal Tax Credit
Arizona,UES - Renewable Energy Credit Purchase Program,Rebate Program
Virginia,Local Option - Residential Property Tax Exemption for Solar,Property Tax Incentive
Vermont,GMP - Biomass Grants,Grant Program
Washington,Fuel Mix and Emissions Disclosure,Generation Disclosure
New Mexico,Schools with Sol,Grant Program
Washington,Klickitat PUD - Solar PV Rebate,Rebate Program
Colorado,Aspen Electric - Net Metering,Net Metering
Washington,Klickitat PUD - Solar PV Loan Program,Loan Program
Delaware,DEMEC - Green Power Program,Mandatory Utility Green Power Option
New York,Renewable Portfolio Standard,Renewables Portfolio Standard
Arizona,SRP - Solar Water Heating Program,Rebate Program
Delaware,Technology and Demonstration Grants,Grant Program
Delaware,Research and Development Grants,Grant Program
North Carolina,Renewable Energy Equipment Manufacturer Incentive,Industry Recruitment/Support
Washington,Grays Harbor PUD - Solar Water Heater Loan,Loan Program
West Virginia,Tax Exemption for Renewable Energy Generation,Corporate Tax Exemption
Washington,Grays Harbor PUD - Net Metering,Net Metering
Rhode Island,Residential Solar Energy Property Tax Reduction,Property Tax Incentive
Florida,Orlando Utilities Commission - Net Metering,Net Metering
Rhode Island,Renewable Energy Sales Tax Refund,Sales Tax Incentive
Michigan,Energy Efficiency Grants,Grant Program
Missouri,City of Columbia - Renewable Portfolio Standard,Renewables Portfolio Standard
Arizona,City of Tucson - Solar Dividend,Other Policy
Alaska,Power Project Loan Fund,Loan Program
California,Palo Alto Utilities - Remote Renewables Program,Grant Program
Hawaii,Hawaii Natural Energy Institute,Other Policy
Arizona,Residential Solar and Wind Energy Systems Tax Credit,Personal Tax Credit
Arizona,Solar and Wind Equipment Sales Tax Exemption,Sales Tax Incentive
California,Silicon Valley Power - Solar Electric Buy Down Program,Rebate Program
Arizona,Revolving Energy Loans for Arizona (RELA) Program,Loan Program
California,City of Davis - Green Power Purchasing,Green Power Purchasing
California,Santa Clara Water & Sewer - Solar Water Heating Program,Leasing Program
Nevada,NV Energy - Clean Energy Incentive Program,Rebate Program
California,Geothermal Grant & Loan Program,Grant Program
California,Small Business Energy Loan Program,Loan Program
California,Energy Technology Export Program,Industry Recruitment/Support
Connecticut,Alternative Fueled Vehicle Incremental Cost Credit,Corporate Tax Credit
Connecticut,Alternative Fueled Vehicle Charging Station Credit,Corporate Tax Credit
Oregon,Ashland Electric Utility - Bright Way to Heat Water Rebate,Rebate Program
California,City of Davis - Solar Shade Control Act,Solar/Wind Access Policy
Oregon,Ashland Electric Utility - Solar Water Heater Loan,Loan Program
Colorado,Renewable Energy Standard,Renewables Portfolio Standard
South Carolina,Public Building Solar Initiative,Grant Program
California,Riverside Public Utilities - Residential PV Incentive Program,Rebate Program
Michigan,Solar Domestic Hot Water System Rebate Program,Rebate Program
Idaho,Residential Alternative Energy Tax Deduction,Personal Tax Deduction
Illinois,Special Assessment for Solar Energy Systems,Property Tax Incentive
California,Riverside Public Utilities - Energy Efficiency Construction Incentive,Rebate Program
Oregon,BEF - Solar Starters,Performance-Based Incentive
Massachusetts,Clustered PV Installation Program,Rebate Program
Iowa,Local Option - Special Assessment of Wind Energy Devices,Property Tax Incentive
Maryland,Wood Heating Fuel Exemption,Sales Tax Incentive
Massachusetts,Residential Renewable Energy Income Tax Credit,Personal Tax Credit
Massachusetts,Renewable Energy Equipment Sales Tax Exemption,Sales Tax Incentive
Massachusetts,Renewable Energy Property Tax Exemption,Property Tax Incentive
Massachusetts,Excise Tax Exemption for Solar or Wind Powered Systems,Corporate Tax Exemption
Massachusetts,Excise Tax Deduction for Solar or Wind Powered Systems,Corporate Tax Deduction
Massachusetts,Alternative Energy and Energy Conservation Patent Income Tax Deduction (Corporate),Industry Recruitment/Support
California,State Building Solar Requirements,Energy Standards for Public Buildings
Minnesota,Wind and Solar-Electric (PV) Systems Exemption,Property Tax Incentive
New York,Green Building Tax Credit Program (Personal),Personal Tax Credit
Montana,Renewable Energy Systems Exemption,Property Tax Incentive
Missouri,Alternative Fuel Vehicle Loan Program,Loan Program
Louisiana,Alternative Vehicle Conversion Credits - Personal,Personal Tax Credit
Connecticut,Connecticut Clean Energy Fund,Public Benefits Fund
Nevada,Renewable Energy Systems Property Tax Exemption,Property Tax Incentive
Delaware,Delmarva - Green Energy Fund,Public Benefits Fund
North Dakota,Renewable Energy Property Tax Exemption,Property Tax Incentive
North Dakota,Geothermal Tax Credit,Personal Tax Credit
Maine,Efficiency Maine Trust - Energy Efficiency and Renewable Resource Fund,Public Benefits Fund
Maryland,State Agency Loan Program,Loan Program
Pennsylvania,Public Benefits Programs,Public Benefits Fund
Oregon,Renewable Energy Systems Exemption,Property Tax Incentive
California,Burbank Water and Power - Residential and Commercial Solar Support Program,Rebate Program
Oregon,Business Energy Tax Credit,Corporate Tax Credit
New Jersey,Societal Benefits Charge,Public Benefits Fund
Oregon,Utility Independent Home Rebate Program,Rebate Program
Oregon,Remote Water Pumping Rebate Program,Rebate Program
South Dakota,Renewable Energy Systems Exemption,Property Tax Incentive
Minnesota,Ethanol Production Incentive,Performance-Based Incentive
Texas,Renewable Energy Systems Property Tax Exemption,Property Tax Incentive
New York,Green Building Tax Credit Program (Corporate),Corporate Tax Credit
California,Energy Innovations Small Grant (EISG) Program,Grant Program
California,Public Interest Energy Research Grants (PIER),Grant Program
Massachusetts,Mass Energy Consumers Alliance - Renewable Energy Certificate Incentive,Performance-Based Incentive
Wisconsin,"Biogas, Solar, and Wind Energy Equipment Exemption",Property Tax Incentive
Washington,Plug and Play Off-Grid PV Buydown,Rebate Program
Nevada,Large Scale Renewable Energy Property Tax Abatement (Nevada State Office of Energy),Property Tax Incentive
Texas,Renewable Generation Requirement,Renewables Portfolio Standard
North Carolina,Active Solar Heating and Cooling Systems Exemption,Property Tax Incentive
Iowa,Property Tax Exemption for Renewable Energy Systems,Property Tax Incentive
Iowa,Methane Gas Conversion Property Tax Exemption,Property Tax Incentive
Arizona,Sulphur Springs Valley EC - SunWatts Rebate Program,Rebate Program
Oregon,Fuel Mix and Emissions Disclosure,Generation Disclosure
Oklahoma,Tax Credit for Manufacturers of Small Wind Turbines,Industry Recruitment/Support
Colorado,Aspen Solar Pioneer Program - PV Production Incentive,Performance-Based Incentive
Wisconsin,Renewable Portfolio Standard,Renewables Portfolio Standard
Pennsylvania,Renewable Portfolio Standard,Renewables Portfolio Standard
New York,"Local Option - Solar, Wind & Biomass Energy Systems Exemption",Property Tax Incentive
Maryland,Fuel Mix and Emissions Disclosure,Generation Disclosure
Rhode Island,Residential Renewable Energy Tax Credit (Personal),Personal Tax Credit
Connecticut,Renewables Portfolio Standard,Renewables Portfolio Standard
Connecticut,Energy Conservation Loan,Loan Program
Connecticut,Alternative Fuel Vehicles and Associated Equipment,Sales Tax Incentive
Hawaii,Maui County - Solar Roofs Initiative Loan Program,Loan Program
Alabama,Biomass Energy Program,Grant Program
Washington,High Technology Product Manufacturers Excise Tax Exemption,Industry Recruitment/Support
Illinois,Alternative Energy Bond Fund Program,Grant Program
California,City of San Diego - Green Power Purchasing,Green Power Purchasing
Ohio,Energy Loan Fund (ELF),Public Benefits Fund
California,City of San Diego - Sustainable Building Policy,Energy Standards for Public Buildings
Minnesota,Agricultural Improvement Loan Program,Loan Program
Minnesota,Value-Added Stock Loan Participation Program,Loan Program
Idaho,Low-Interest Energy Loan Programs,Loan Program
Iowa,Renewable Fuel Fund,Loan Program
Iowa,Alternate Energy Revolving Loan Program,Loan Program
Kansas,State Energy Program Grants,Grant Program
California,Efficient Vehicle Incentive Program,Rebate Program
Arkansas,Alternative Fuel Vehicle Conversion Rebate Program,Rebate Program
Nebraska,Dollar and Energy Savings Loans,Loan Program
Mississippi,MDA - Energy Efficiency Revolving Loan Program,Loan Program
Tennessee,Small Business Energy Loan Program,Loan Program
New York,NYSERDA - Renewables R&D Grant Program,Industry Recruitment/Support
Virginia,Low-Income Loan Program for Energy Conservation Improvements,Loan Program
New Jersey,Solar Energy Sales Tax Exemption,Sales Tax Incentive
Utah,Clean Fuel Vehicle Tax Credit - Personal,Personal Tax Credit
Washington,Clark County - Green Power Purchasing,Green Power Purchasing
New Mexico,Fuel Mix and Emissions Disclosure,Generation Disclosure
Nebraska,Nebraska Solar and Wind Easements,Solar/Wind Access Policy
Ohio,Fuel Mix and Emissions Disclosure,Generation Disclosure
Iowa,Mandatory Utility Green Power Option,Mandatory Utility Green Power Option
Arizona,Qualified Environmental Technology Facilities Credit,Industry Recruitment/Support
Iowa,Iowa Energy Bank,Loan Program
Indiana,Alternative Power & Energy Grant Program,Grant Program
Massachusetts,Alternative Energy and Energy Conservation Patent Income Tax Deduction (Personal),Industry Recruitment/Support
California,City of Santa Monica - Green Building Grant Program,Grant Program
Maryland,Jane E. Lawton Conservation Loan Program,Loan Program
Maryland,Local Option - Property Tax Credit for Renewables and Energy Conservation Devices,Property Tax Incentive
Missouri,Energy Loan Program,Loan Program
Missouri,Wood Energy Production Credit,Corporate Tax Credit
Wisconsin,Net Metering,Net Metering
Oregon,Small-Scale Energy Loan Program,Loan Program
Pennsylvania,Alternative Fuels Incentive Grant Fund (AFIG),Grant Program
Wisconsin,Renewable Transportation Fuels Technical Assistance,Grant Program
Connecticut,Fuel Mix and Emissions Disclosure,Generation Disclosure
Connecticut,Property Tax Exemption for Renewable Energy Systems,Property Tax Incentive
Minnesota,Renewable Energy Production Incentive,Performance-Based Incentive
Louisiana,Alternative Vehicle Conversion Credits - Corporate,Corporate Tax Credit
Florida,Solar and CHP Sales Tax Exemption,Sales Tax Incentive
Arizona,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Wisconsin,Solar Water Heating Incentive Program,Rebate Program
Oregon,Energy Trust of Oregon,Public Benefits Fund
New Mexico,System Benefits Charge,Public Benefits Fund
Utah,Renewable Energy Systems Tax Credit (Corporate),Corporate Tax Credit
California,California Wind Access Law,Solar/Wind Access Policy
California,Solar Schools Program,Grant Program
Iowa,Iowa Energy Center - Grants for Energy Efficiency and Renewable Energy Research,Grant Program
California,City of Los Angeles - Zoning Code,Solar/Wind Access Policy
Oregon,City of Portland - Green Building Policy and LEED Certification,Energy Standards for Public Buildings
California,City of Sacramento - Solar Access Regulations,Solar/Wind Access Policy
Indiana,Net Metering (Utility Option),Net Metering
Indiana,Indiana Solar Easements & Rights Laws,Solar/Wind Access Policy
California,City of San Diego - Development Regulations,Solar/Wind Access Policy
Colorado,Colorado Solar/Wind Easements and Rights Law,Solar/Wind Access Policy
Colorado,Mandatory Photovoltaic System Cost Estimate,Line Extension Analysis
Arizona,TEP - Net Metering,Net Metering
Pennsylvania,Alternative Energy Portfolio Standard,Renewables Portfolio Standard
California,City of San Francisco - Renewable Energy Purchasing,Green Power Purchasing
California,City of San Jose - Solar Access Design Guidelines,Solar/Wind Access Policy
Iowa,Alternative Energy Law (AEL),Renewables Portfolio Standard
Hawaii,Honolulu - Solar Bond,Green Power Purchasing
Utah,Moab - Green Power Community,Green Power Purchasing
Arizona,Renewable Energy Standard,Renewables Portfolio Standard
Arizona,Mandatory Photovoltaic System Cost Analysis,Line Extension Analysis
Nevada,Nevada Solar and Wind Easement Laws,Solar/Wind Access Policy
Colorado,Net Metering,Net Metering
Arizona,City of Scottsdale - Green Power Purchasing,Green Power Purchasing
Colorado,Utility PV Rebate,Rebate Program
Pennsylvania,Interconnection Standards,Interconnection
Florida,SunBuilt Gold,Rebate Program
California,Net Metering / Net Billing,Net Metering
Connecticut,Residential Renewable Energy Solutions,Net Metering
Indiana,DSM Programs Incorporating Renewables,Other Policy
Idaho,Idaho Power - Net Metering,Net Metering
Maine,Net Energy Billing,Net Metering
Massachusetts,Net Metering,Net Metering
Minnesota,Net Metering,Net Metering
New Hampshire,Net Metering,Net Metering
New Mexico,Net Metering,Net Metering
North Dakota,Net Metering,Net Metering
Oklahoma,Net Metering,Net Metering
Rhode Island,Net Metering,Net Metering
Texas,Texas - Net Metering,Net Metering
Florida,City of Gainesville - Public Facilities Landscaping Ordinances,Solar/Wind Access Policy
New Mexico,New Mexico Solar Easements & Rights Laws,Solar/Wind Access Policy
Oregon,City of Ashland - Solar Rights Ordinance,Solar/Wind Access Policy
Montana,Montana Solar and Wind Easements,Solar/Wind Access Policy
Virginia,Rockingham County - Small Wind Ordinance,Solar/Wind Permitting Standards
California,California Solar Easement and the Solar Shade Control Act,Solar/Wind Access Policy
Oregon,City of Eugene - Solar Standards,Solar/Wind Access Policy
Virginia,Cape Charles - Architectural Guidelines,Solar/Wind Access Policy
Connecticut,"CCEF - Commercial, Industrial, Institutional PV Grant Program",Grant Program
Massachusetts,MTC - Renewable Energy Credit Payment Options,Performance-Based Incentive
California,Santa Barbara County - Green Power Purchasing,Green Power Purchasing
California,City of Santa Monica - Green Power Purchasing through Clean Power Alliance Utility,Green Power Purchasing
Massachusetts,Massachusetts Solar Easements & Rights Laws,Solar/Wind Access Policy
Minnesota,Minnesota Solar/Wind Easement Law & Local Law Options,Solar/Wind Access Policy
Ohio,ODOD - Residential Renewable Energy Grants,Grant Program
Colorado,Denver - Green Power Purchasing,Green Power Purchasing
Massachusetts,Cape Cod & Martha's Vineyard - Green Power Purchasing,Green Power Purchasing
New York,New York Solar Easements & Solar Rights Laws,Solar/Wind Access Policy
California,LADWP - Net Metering Rules,Net Metering
Utah,Utah Solar Easement and Access Laws,Solar/Wind Access Policy
Wisconsin,Wisconsin Solar and Wind Rights,Solar/Wind Access Policy
California,SMUD - PV Residential Retrofit Buy-Down,Rebate Program
Colorado,Fort Collins Utilities - Net Metering,Net Metering
Arizona,Solar Design Standards for State Buildings,Energy Standards for Public Buildings
Arkansas,Solar Mechanic Licensing,Solar/Wind Contractor Licensing
California,SMUD - Non-Residential PV Incentive Program,Rebate Program
Florida,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Maine,Solar Contractor Licensing and Training,Solar/Wind Contractor Licensing
Connecticut,Solar and Wind Contractor Licensing,Solar/Wind Contractor Licensing
New Mexico,Mandatory Alternative Energy Cost Estimates,Line Extension Analysis
Florida,New Smyrna Beach Utilities - Net Metering,Net Metering
Ohio,Bowling Green Municipal Utilities - Net Metering,Net Metering
Minnesota,Energy Investment Loan Program,Loan Program
Texas,Austin Energy - Net Metering,Net Metering
Nevada,Nevada Power - PV Rebate Program,Rebate Program
California,City of San Jose - Photovoltaic Permit Requirements,Solar/Wind Permitting Standards
Iowa,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arizona,Energy Efficiency Standards for State Buildings,Energy Standards for Public Buildings
Massachusetts,MTC - Matching Grants for Communities,Grant Program
Michigan,Nonrefundable Business Activity Tax Credit,Industry Recruitment/Support
Texas,Certification of Solar Collectors,Equipment Certification
Texas,Alternative Energy in New State Construction,Energy Standards for Public Buildings
Connecticut,CCEF - Renewable Energy Projects in Pre-Development Program,Loan Program
Texas,Mandatory Renewable Energy Educational Materials,Line Extension Analysis
Connecticut,CCEF - Project 150 Initiative,Grant Program
Oregon,Large Scale Solar Electric Demonstration Project for Public and Non-profit Organizations,Rebate Program
Florida,DSM Programs Incorporating Renewables,Other Policy
Florida,Energy Conservation in Public Buildings,Energy Standards for Public Buildings
Indiana,Net Metering,Net Metering
Hawaii,Hawaii Solar Installation Rights,Solar/Wind Access Policy
California,Ukiah Utilities - PV Buydown Program,Rebate Program
Massachusetts,Commonwealth Wind Incentive Program - Micro Wind Initiative,Rebate Program
Vermont,Wind Energy Demonstration Grants,Grant Program
Michigan,Michigan - Net Metering,Net Metering
Massachusetts,Medford Solar Program,Grant Program
Idaho,Renewable Energy Equipment Sales Tax Refund,Sales Tax Incentive
Pennsylvania,Pennsylvania Energy Development Authority (PEDA) - Grants,Grant Program
North Carolina,NC GreenPower Production Incentive,Performance-Based Incentive
Pennsylvania,Pennsylvania Energy Development Authority (PEDA) - Loans and Loan Guarantees,Loan Program
North Carolina,Interconnection Standards,Interconnection
Illinois,Illinois Clean Energy Community Foundation Grants,Grant Program
Maryland,Maryland - Life Cycle Cost Analysis Standards,Energy Standards for Public Buildings
Minnesota,Comprehensive Energy Savings Plan for State Facilities,Energy Standards for Public Buildings
California,IID Energy - PV Solutions Rebate Program,Rebate Program
New Mexico,Biomass Equipment & Materials Compensating Tax Deduction,Sales Tax Incentive
Oregon,EWEB - Energy Management Services Loan,Loan Program
Iowa,Iowa - Green Power Procurement,Green Power Purchasing
Oregon,Solar Equipment Certification,Equipment Certification
Maryland,Net Metering,Net Metering
New Mexico,Clean Energy Revenue Bond Program,Bond Program
Idaho,Clean Energy Project Bond Program,Bond Program
Montana,Residential Alternative Energy System Tax Credit,Personal Tax Credit
Oregon,Renewable Energy Contractor Licensing,Solar/Wind Contractor Licensing
Washington,Ferry County PUD #1 - Off-Grid Solar PV Financial Assistance,Loan Program
New York,Suffolk County - Green Power Purchasing Policy,Green Power Purchasing
Maryland,Montgomery County - Clean Energy Rewards Program,Rebate Program
Maryland,Montgomery County - Green Power Purchasing,Green Power Purchasing
Nevada,Net Metering,Net Metering
Nevada,Energy Portfolio Standard,Renewables Portfolio Standard
Oregon,EWEB - Energy Management Services Rebate,Rebate Program
Maryland,Prince George's County - Green Power Purchasing,Green Power Purchasing
Florida,Solar Equipment Certification,Equipment Certification
Washington,Renewable Energy Cost Recovery Incentive Payment Program,Performance-Based Incentive
California,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Colorado,City of Boulder - Green Points Building Program,Building Energy Code
Washington,Tax Abatement for Solar Manufacturers,Industry Recruitment/Support
Hawaii,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Colorado,Denver - Sustainable Building Guidelines,Energy Standards for Public Buildings
Montana,Renewable Resource Standard,Renewables Portfolio Standard
Wisconsin,"Wisconsin Public Power, Inc. - Renewable Energy Loan",Loan Program
Nevada,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Wisconsin,"Wisconsin Public Power, Inc. - Renewable Energy Rebate",Rebate Program
Rhode Island,Renewable Energy Professional Certificate,Solar/Wind Contractor Licensing
Colorado,Holy Cross Energy - Renewable Energy Rebate Program,Rebate Program
North Carolina,Town of Chapel Hill - Energy Conservation Requirements for Town Buildings,Energy Standards for Public Buildings
Minnesota,Xcel Energy Wind and Biomass Generation Mandate,Renewables Portfolio Standard
Virginia,Cape Charles - Construction & Design Standards,Building Energy Code
Florida,JEA - Solar Incentive Program,Rebate Program
Wisconsin,City of Madison - Contractor Licensing,Solar/Wind Contractor Licensing
California,Public Benefits Funds for Renewables and Efficiency,Public Benefits Fund
California,City of San Jose - Municipal Green Building Program,Energy Standards for Public Buildings
Minnesota,Mandatory Utility Green Power Option,Mandatory Utility Green Power Option
Colorado,City of Aspen - Renewable Energy Goal,Renewables Portfolio Standard
Colorado,City of Boulder - Green Power Purchasing,Green Power Purchasing
Arizona,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arizona,City of Tucson - Sustainable Energy Standard,Energy Standards for Public Buildings
Illinois,City of Chicago - Green Power Purchasing,Green Power Purchasing
California,SMUD - Solar Water Heater Rebate Program,Rebate Program
Illinois,Chicago - Industry Recruitment of Chicago Spire Solar,Industry Recruitment/Support
Oregon,Portland - Green Power Purchasing & Generation,Green Power Purchasing
Wisconsin,City of Madison - Green Power Purchasing,Green Power Purchasing
Oregon,Ashland Electric Utility - Photovoltaic Rebate Program,Rebate Program
Colorado,City of Aspen and Pitkin County - Renewable Energy Mitigation Program,Building Energy Code
Virginia,Cape Charles - STIP Minimum Sustainability Requirements,Green Building Incentive
Washington,City of Seattle - Sustainable Buildings and Sites Policy,Energy Standards for Public Buildings
Virginia,Cape Charles - STIP Industry Recruitment,Industry Recruitment/Support
Wisconsin,City of Madison - Solar and Wind Access and Planning Laws,Solar/Wind Access Policy
Washington,Orcas Power & Light - Photovoltaic Rebate,Rebate Program
Utah,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Florida,PV for Schools Educational Enhancement Program,Rebate Program
Colorado,City of Boulder - Solar Access Ordinance,Solar/Wind Access Policy
Illinois,Vehicle Conversion Rebate,Rebate Program
Arkansas,Solar Energy Equipment Certification,Equipment Certification
Idaho,Solar Energy Equipment Certification,Equipment Certification
Louisiana,Solar Energy Equipment Certification,Equipment Certification
Maine,Solar Energy Equipment Warranties,Equipment Certification
Wisconsin,Public Benefits Fund,Public Benefits Fund
California,City of Palo Alto - Solar Access,Solar/Wind Access Policy
New Hampshire,Fuel Mix and Environmental Characteristics Disclosure,Generation Disclosure
California,Fuel Mix Disclosure,Generation Disclosure
Wisconsin,Madison - Energy Management Strategy,Energy Standards for Public Buildings
Maine,Fuel Mix and Emissions Disclosure,Generation Disclosure
Nevada,Fuel Mix and Emissions Disclosure,Generation Disclosure
Maine,Renewable Portfolio Standard,Renewables Portfolio Standard
New York,Net Metering,Net Metering
Colorado,Solar Contractor Training Programs,Solar/Wind Contractor Licensing
California,City of Santa Monica - Green Building Standards,Building Energy Code
Michigan,Solar Contractor Licensing,Solar/Wind Contractor Licensing
Montana,Universal System Benefits Program,Public Benefits Fund
Rhode Island,Rhode Island Renewable Energy Fund (RIREF),Public Benefits Fund
Florida,JEA - Net Metering,Net Metering
Kansas,Kansas Electric Utilities Research Program (KEURP),Other Policy
Ohio,Northeast Ohio Public Energy Council - Aggregation,Green Power Purchasing
New York,Residential Loan Fund,Loan Program
Oregon,Portland - Solar Access Developer Guidelines,Solar/Wind Access Policy
California,Los Angeles - Contractor Licensing,Solar/Wind Contractor Licensing
Oregon,Ashland Electric - Net Metering,Net Metering
Rhode Island,People's Power & Light - Renewable Energy Certificate Incentive,Performance-Based Incentive
Oklahoma,Solar and Wind Equipment Certification,Equipment Certification
Minnesota,Solar Equipment Certification Requirement,Equipment Certification
Virginia,Clean-Fuel Vehicle Job Creation Tax Credit,Industry Recruitment/Support
Massachusetts,Renewable Portfolio Standard,Renewables Portfolio Standard
Massachusetts,Fuel Mix and Emissions Disclosure,Generation Disclosure
Colorado,Holy Cross Energy - Net Metering,Net Metering
Colorado,Gunnison County Electric - Net Metering,Net Metering
Illinois,Renewable Energy Resources Trust Fund,Public Benefits Fund
Illinois,Fuel Mix and Emissions Disclosure,Generation Disclosure
Iowa,Net Metering,Net Metering
Wisconsin,Madison - Equipment Certification,Equipment Certification
Montana,Corporate Property Tax Reduction for New/Expanded Generating Facilities,Property Tax Incentive
Pennsylvania,Sustainable Development Fund Financing Program (PECO Territory),Loan Program
Indiana,Alternative Fuel Transportation Grant Program,Grant Program
Colorado,Aspen - Grid-Tied Micro Hydro Grant,Grant Program
California,LADWP - Solar Incentive Program,Rebate Program
California,City of Palo Alto Utilities - PV Partners,Rebate Program
California,Plumas-Sierra REC - Geothermal Rebate Program,Rebate Program
Michigan,Wind Turbine & Solar PV Incentive Program,Rebate Program
Florida,Gainesville Regional Utilities - Solar Water Heating Rebate Program,Rebate Program
Hawaii,Solar Water Heater Rebate,Rebate Program
