"Table 6.2.B. Net Summer Capacity Using Primarily Renewable Energy Sources and by State, September 2024 and 2023 (Megawatts)",,,,,,,,,,,,,,,,,,,,
"
 
 
",Summer Capacity at Utility Scale Facilities,,,,,,,,,,,,,,Small Scale Capacity,,Capacity From Utility and Small Scale Facilities,,,
"
Census Division
and State",Wind,,"Solar
Photovoltaic",,Solar Thermal,,"Conventional
Hydroelectric",,Biomass Sources,,Geothermal,,"Total Renewable
Sources",,Estimated Solar Photovoltaic,,Estimated Total Solar Photovoltaic,,Estimated Total Solar,
"
",September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023
District of Columbia,0.0,0.0,28.0,19.6,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,40.0,31.6,166.2,134.0,194.2,153.6,194.2,153.6
Florida,0.0,0.0,"9,740.9","7,565.3",0.0,0.0,43.5,43.5,"1,001.6","1,001.6",0.0,0.0,"10,786.0","8,610.4","2,734.2","2,267.8","12,475.1","9,833.1","12,475.1","9,833.1"
Georgia,0.0,0.0,"4,667.9","3,880.1",0.0,0.0,"1,985.0","1,985.0","1,067.1","1,067.1",0.0,0.0,"7,720.0","6,932.2",335.9,311.2,"5,003.8","4,191.3","5,003.8","4,191.3"
Maryland,190.0,190.0,626.7,571.1,0.0,0.0,514.9,514.9,139.9,139.9,0.0,0.0,"1,471.5","1,415.9","1,110.3","1,021.9","1,737.0","1,593.0","1,737.0","1,593.0"
North Carolina,208.0,208.0,"6,715.2","6,304.4",0.0,0.0,"2,010.5","2,010.5",372.1,381.1,0.0,0.0,"9,305.8","8,904.0",557.8,469.8,"7,273.0","6,774.2","7,273.0","6,774.2"
South Carolina,0.0,0.0,"1,573.6","1,502.5",0.0,0.0,"1,294.0","1,294.0",465.7,465.7,0.0,0.0,"3,333.3","3,262.2",396.7,375.9,"1,970.3","1,878.4","1,970.3","1,878.4"
Virginia,12.0,12.0,"4,058.6","3,142.0",0.0,0.0,866.6,866.6,738.3,802.2,0.0,0.0,"5,675.5","4,822.8",658.8,591.7,"4,717.4","3,733.7","4,717.4","3,733.7"
West Virginia,855.2,855.2,124.4,0.0,0.0,0.0,340.8,340.8,3.2,3.2,0.0,0.0,"1,323.6","1,199.2",41.2,33.3,165.6,33.3,165.6,33.3
East South Central,213.6,29.1,"2,613.6","1,541.4",0.0,0.0,"7,037.8","7,037.8","1,134.5","1,142.7",0.0,0.0,"10,999.5","9,751.0",181.6,166.8,"2,795.2","1,708.2","2,795.2","1,708.2"
Alabama,0.0,0.0,663.5,601.1,0.0,0.0,"3,291.8","3,291.8",616.7,624.9,0.0,0.0,"4,572.0","4,517.8",NM,NM,NM,NM,NM,NM
Kentucky,0.0,0.0,311.6,79.8,0.0,0.0,"1,137.4","1,137.4",70.5,70.5,0.0,0.0,"1,519.5","1,287.7",105.5,88.8,417.1,168.6,417.1,168.6
Mississippi,184.5,0.0,"1,037.7",320.8,0.0,0.0,0.0,0.0,302.4,302.4,0.0,0.0,"1,524.6",623.2,17.7,14.4,"1,055.4",335.2,"1,055.4",335.2
Tennessee,29.1,29.1,600.8,539.7,0.0,0.0,"2,608.6","2,608.6",144.9,144.9,0.0,0.0,"3,383.4","3,322.3",44.2,49.1,645.0,588.8,645.0,588.8
West South Central,"54,710.2","52,055.1","21,766.4","12,863.3",0.0,0.0,"3,004.5","3,013.0","1,075.2","1,084.8",0.0,0.0,"80,556.3","69,016.2","3,371.4","3,214.4","25,137.8","16,077.7","25,137.8","16,077.7"
Arkansas,0.0,0.0,"1,302.6",363.0,0.0,0.0,"1,265.2","1,265.2",223.8,223.8,0.0,0.0,"2,791.6","1,852.0",376.3,259.7,"1,678.9",622.7,"1,678.9",622.7
Louisiana,0.0,0.0,769.5,144.5,0.0,0.0,192.0,192.0,422.1,422.1,0.0,0.0,"1,383.6",758.6,201.5,186.4,971.0,330.9,971.0,330.9
Oklahoma,"12,648.2","12,145.7",167.5,47.5,0.0,0.0,832.1,840.6,76.2,76.2,0.0,0.0,"13,724.0","13,110.0",138.7,98.1,306.2,145.6,306.2,145.6
Texas,"42,062.0","39,909.4","19,526.8","12,308.3",0.0,0.0,715.2,715.2,353.1,362.7,0.0,0.0,"62,657.1","53,295.6","2,654.9","2,670.1","22,181.7","14,978.4","22,181.7","14,978.4"
Mountain,"17,643.8","16,389.4","16,211.3","11,746.9",474.2,474.2,"10,568.6","10,564.5",179.4,174.6,748.3,748.3,"45,825.6","40,097.9","6,324.9","5,613.5","22,536.2","17,360.4","23,010.4","17,834.6"
Arizona,"1,234.5",855.5,"4,068.4","2,782.9",295.6,295.6,"2,721.9","2,721.9",27.9,27.9,0.0,0.0,"8,348.3","6,683.8","2,845.6","2,622.7","6,914.0","5,405.6","7,209.6","5,701.2"
Colorado,"5,336.7","5,137.7","2,180.8","1,891.1",0.0,0.0,689.7,689.7,28.7,28.7,0.0,0.0,"8,235.9","7,747.2","1,175.2",990.8,"3,356.0","2,881.9","3,356.0","2,881.9"
Idaho,"1,128.3",968.3,502.0,402.0,0.0,0.0,"2,630.8","2,630.8",87.6,84.4,10.0,10.0,"4,358.7","4,095.5",169.0,149.7,671.0,551.7,671.0,551.7
Montana,"1,889.6","1,478.9",177.0,177.0,0.0,0.0,"2,825.0","2,820.9",6.2,4.6,0.0,0.0,"4,897.8","4,481.4",73.7,53.0,250.7,230.0,250.7,230.0
Nevada,150.0,150.0,"5,028.4","3,642.3",178.5,178.5,"1,051.7","1,051.7",9.8,9.8,659.0,659.0,"7,077.4","5,691.3","1,085.6",906.9,"6,114.0","4,549.2","6,292.5","4,727.7"
New Mexico,"4,409.0","4,409.0","1,821.9","1,131.9",0.0,0.0,82.7,82.7,3.2,3.2,8.6,8.6,"6,325.4","5,635.4",403.9,362.4,"2,225.8","1,494.3","2,225.8","1,494.3"
Utah,389.7,389.7,"2,190.8","1,627.7",0.1,0.1,259.7,259.7,16.0,16.0,70.7,70.7,"2,927.0","2,363.9",551.9,511.1,"2,742.7","2,138.8","2,742.8","2,138.9"
Wyoming,"3,106.0","3,000.3",242.0,92.0,0.0,0.0,307.1,307.1,0.0,0.0,0.0,0.0,"3,655.1","3,399.4",20.1,16.9,262.1,108.9,262.1,108.9
Pacific Contiguous,"13,751.1","13,540.3","21,075.1","18,924.0","1,005.8","1,005.8","39,962.8","40,101.0","1,660.9","1,741.7","1,904.5","1,904.5","79,360.2","77,217.3","18,791.3","16,859.9","39,866.4","35,783.9","40,872.2","36,789.7"
California,"6,399.7","6,188.9","19,864.5","17,780.0","1,005.8","1,005.8","10,180.1","10,225.9","1,090.8","1,116.6","1,885.0","1,885.0","40,425.9","38,202.2","17,855.1","16,073.0","37,719.6","33,853.0","38,725.4","34,858.8"
Oregon,"3,976.5","3,976.5","1,022.3",955.7,0.0,0.0,"8,265.2","8,363.2",294.9,294.9,19.5,19.5,"13,578.4","13,609.8",451.6,380.4,"1,473.9","1,336.1","1,473.9","1,336.1"
Washington,"3,374.9","3,374.9",188.3,188.3,0.0,0.0,"21,517.5","21,511.9",275.2,330.2,0.0,0.0,"25,355.9","25,405.3",484.6,406.5,672.9,594.8,672.9,594.8
Pacific Noncontiguous,292.2,292.2,472.4,399.9,0.0,0.0,508.6,506.8,160.9,160.9,43.0,43.0,"1,477.1","1,402.8",926.3,836.0,"1,398.7","1,235.9","1,398.7","1,235.9"
Alaska,59.0,59.0,7.7,7.7,0.0,0.0,476.2,474.4,7.0,7.0,0.0,0.0,549.9,548.1,19.9,18.7,27.6,26.4,27.6,26.4
Hawaii,233.2,233.2,464.7,392.2,0.0,0.0,32.4,32.4,153.9,153.9,43.0,43.0,927.2,854.7,906.4,817.3,"1,371.1","1,209.5","1,371.1","1,209.5"
U.S. Total,"151,098.2","144,421.9","107,482.4","80,606.0","1,480.0","1,480.0","79,836.0","79,976.9","11,737.9","11,911.7","2,695.8","2,695.8","354,330.3","321,092.3","51,857.3","45,923.3","159,339.7","126,529.3","160,819.7","128,009.3"
"NM = Not meaningful due to large relative standard error.
Values for 2023 are final. Values for 2024 are preliminary.

Sources: U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report' and Form EIA-860M, 'Monthly Update to the Annual Electric Generator Report.'
Estimated small scale solar photovoltaic capacity is based on data from Form EIA-861M, Form EIA-861, and from estimation methods described in the technical notes.",,,,,,,,,,,,,,,,,,,,
