Net generation for all sectors,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2022&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,
Connecticut : all solar,thousand megawatthours,ELEC.GEN.TSN-CT-99.A,1659
Connecticut : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CT-99.A,1238
Connecticut : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CT-99.A,421
Connecticut : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CT-99.A,421
Connecticut : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CT-99.A,--
Maine,,ELEC.GEN..A,
Maine : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-ME-99.A,12512
Maine : coal,thousand megawatthours,ELEC.GEN.COW-ME-99.A,43
Maine : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-ME-99.A,67
Maine : petroleum coke,thousand megawatthours,ELEC.GEN.PC-ME-99.A,--
Maine : natural gas,thousand megawatthours,ELEC.GEN.NG-ME-99.A,3975
Maine : other gases,thousand megawatthours,ELEC.GEN.OOG-ME-99.A,--
Maine : nuclear,thousand megawatthours,ELEC.GEN.NUC-ME-99.A,--
Maine : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-ME-99.A,3832
Maine : other renewables,thousand megawatthours,ELEC.GEN.AOR-ME-99.A,4320
Maine : wind,thousand megawatthours,ELEC.GEN.WND-ME-99.A,2339
Maine : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ME-99.A,523
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,523
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--
Maine : geothermal,thousand megawatthours,ELEC.GEN.GEO-ME-99.A,--
Maine : biomass,thousand megawatthours,ELEC.GEN.BIO-ME-99.A,1458
Maine : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-ME-99.A,1388
Maine : other biomass,thousand megawatthours,ELEC.GEN.WAS-ME-99.A,70
Maine : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-ME-99.A,--
Maine : other,thousand megawatthours,ELEC.GEN.OTH-ME-99.A,276
Maine : all solar,thousand megawatthours,ELEC.GEN.TSN-ME-99.A,1152
Maine : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ME-99.A,629
Maine : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ME-99.A,523
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,523
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--
Massachusetts,,ELEC.GEN..A,
Massachusetts : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MA-99.A,19696
Massachusetts : coal,thousand megawatthours,ELEC.GEN.COW-MA-99.A,0
Massachusetts : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MA-99.A,97
Massachusetts : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MA-99.A,--
Massachusetts : natural gas,thousand megawatthours,ELEC.GEN.NG-MA-99.A,14774
Massachusetts : other gases,thousand megawatthours,ELEC.GEN.OOG-MA-99.A,--
Massachusetts : nuclear,thousand megawatthours,ELEC.GEN.NUC-MA-99.A,--
Massachusetts : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MA-99.A,1165
Massachusetts : other renewables,thousand megawatthours,ELEC.GEN.AOR-MA-99.A,3111
Massachusetts : wind,thousand megawatthours,ELEC.GEN.WND-MA-99.A,182
Massachusetts : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MA-99.A,2015
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,2015
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--
Massachusetts : geothermal,thousand megawatthours,ELEC.GEN.GEO-MA-99.A,--
Massachusetts : biomass,thousand megawatthours,ELEC.GEN.BIO-MA-99.A,914
Massachusetts : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MA-99.A,36
Massachusetts : other biomass,thousand megawatthours,ELEC.GEN.WAS-MA-99.A,878
Massachusetts : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MA-99.A,-379
Massachusetts : other,thousand megawatthours,ELEC.GEN.OTH-MA-99.A,928
Massachusetts : all solar,thousand megawatthours,ELEC.GEN.TSN-MA-99.A,5724
Massachusetts : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MA-99.A,3709
Massachusetts : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MA-99.A,2015
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,2015
