"Average cost of fossil fuels for electricity generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/14?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2008&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sun Nov 24 2024 19:40:10 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Natural gas : Virginia","dollars per mcf","ELEC.COST.NG-VA-99.A","W","W","W","W","W","W","W","W",3.03,"W","W","W","W","W","W","W"
"Natural gas : West Virginia","dollars per mcf","ELEC.COST.NG-WV-99.A","W","W","W","W",3.33,"W","W","W",2.09,"W","W","W","W",3.75,"W","W"
"Natural gas : East South Central","dollars per mcf","ELEC.COST.NG-ESC-99.A","W","W","W","W",3.02,"W",4.78,3.03,"W","W","W","W","W","W","W","W"
"Natural gas : Alabama","dollars per mcf","ELEC.COST.NG-AL-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Kentucky","dollars per mcf","ELEC.COST.NG-KY-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Mississippi","dollars per mcf","ELEC.COST.NG-MS-99.A","W","W","W","W",2.92,"W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Tennessee","dollars per mcf","ELEC.COST.NG-TN-99.A","W","W","W","W","W","W",4.67,2.97,"W","W","W","W","W","W","W","W"
"Natural gas : West South Central","dollars per mcf","ELEC.COST.NG-WSC-99.A","W","W","W","W",3.00,3.94,4.69,2.90,2.71,3.22,3.22,2.53,2.20,7.77,6.77,2.71
"Natural gas : Arkansas","dollars per mcf","ELEC.COST.NG-AR-99.A","W","W","W","W",3.19,"W","W","W","W",3.36,3.36,2.67,2.36,6.95,7.04,2.75
"Natural gas : Louisiana","dollars per mcf","ELEC.COST.NG-LA-99.A","W","W","W","W","W","W",4.69,2.93,"W",3.25,3.37,2.76,2.26,4.79,6.92,2.84
"Natural gas : Oklahoma","dollars per mcf","ELEC.COST.NG-OK-99.A","W","W","W","W","W","W","W","W","W",3.21,2.78,2.39,2.25,11.39,7.60,2.98
"Natural gas : Texas","dollars per mcf","ELEC.COST.NG-TX-99.A","W","W","W","W",2.97,3.90,4.61,2.87,2.68,3.20,3.22,2.48,2.17,8.23,6.61,2.64
"Natural gas : Mountain","dollars per mcf","ELEC.COST.NG-MTN-99.A","W","W","W","W",3.52,"W","W",3.38,"W",3.60,"W","W","W","W",8.23,"W"
"Natural gas : Arizona","dollars per mcf","ELEC.COST.NG-AZ-99.A","W","W","W","W","W",4.60,5.30,3.43,"W","W",3.08,"W","W","W",8.68,"W"
"Natural gas : Colorado","dollars per mcf","ELEC.COST.NG-CO-99.A","W","W","W","W","W","W",5.49,3.79,"W","W","W","W","W","W","W","W"
"Natural gas : Idaho","dollars per mcf","ELEC.COST.NG-ID-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Montana","dollars per mcf","ELEC.COST.NG-MT-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Nevada","dollars per mcf","ELEC.COST.NG-NV-99.A","W","W","W","W",3.49,"W","W",3.34,3.02,3.51,3.28,3.20,2.75,4.68,8.25,7.56
"Natural gas : New Mexico","dollars per mcf","ELEC.COST.NG-NM-99.A","W","W","W","W","W",4.35,4.93,3.21,3.07,3.58,2.53,1.30,1.65,5.60,6.69,2.68
"Natural gas : Utah","dollars per mcf","ELEC.COST.NG-UT-99.A","W","W","W","W","W","W",4.78,3.04,2.75,"W",3.23,"W","W","W",8.53,"W"
"Natural gas : Wyoming","dollars per mcf","ELEC.COST.NG-WY-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Pacific Contiguous","dollars per mcf","ELEC.COST.NG-PCC-99.A","W","W","W","W",3.61,"W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : California","dollars per mcf","ELEC.COST.NG-CA-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Oregon","dollars per mcf","ELEC.COST.NG-OR-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Washington","dollars per mcf","ELEC.COST.NG-WA-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Pacific Noncontiguous","dollars per mcf","ELEC.COST.NG-PCN-99.A","W","W","W","W","W",4.73,5.06,5.40,6.65,7.08,6.72,6.98,"W","W","W","W"
"Natural gas : Alaska","dollars per mcf","ELEC.COST.NG-AK-99.A","W","W","W","W","W",4.73,5.06,5.40,6.65,7.08,6.72,6.98,"W","W","W","W"
"Natural gas : Hawaii","dollars per mcf","ELEC.COST.NG-HI-99.A","--","--","--","W","--","--","--","--","--","--","--","--","--","--","--","--"
